timestamp,pulgar,indice,corazon,anular,menique,gesto
3139,880,758,745,813,736,indice
3223,880,765,745,813,736,indice
3302,880,766,745,814,736,indice
3380,880,765,745,813,735,indice
3459,880,766,745,814,736,indice
3536,880,766,745,814,736,indice
3615,880,765,745,814,736,indice
3694,880,762,744,813,736,indice
3772,880,754,745,813,736,indice
3851,880,759,745,813,735,indice
3929,880,756,745,813,736,indice
4007,880,753,745,813,735,indice
4085,880,763,745,814,735,indice
4164,880,764,745,813,735,indice
4242,880,762,744,814,735,indice
4321,880,762,745,814,735,indice
4399,880,756,745,813,734,indice
4477,880,711,744,813,734,indice
4555,880,748,745,814,733,indice
4634,880,737,745,813,733,indice
4712,880,759,745,813,732,indice
4791,880,763,745,813,732,indice
4869,880,763,745,813,730,indice
4947,880,762,745,814,728,indice
5026,880,752,745,814,725,indice
5104,880,746,745,814,720,indice
5183,880,740,746,814,718,indice
5261,880,742,745,814,719,indice
5340,880,748,747,815,720,indice
5417,880,752,748,816,722,indice
5496,880,756,749,816,725,indice
5574,880,757,751,818,721,indice
5653,880,762,744,818,680,indice
5731,880,762,752,818,682,indice
5810,880,763,751,817,742,indice
5888,880,764,751,816,742,indice
5966,880,764,749,815,741,indice
6045,880,766,749,815,742,indice
6123,880,768,748,814,741,indice
6202,880,768,747,814,741,indice
6280,880,769,747,815,741,indice
6359,880,770,746,814,741,indice
6436,880,771,746,814,741,indice
6515,880,772,745,814,741,indice
6593,880,773,744,814,741,indice
6672,880,777,745,814,741,indice
6750,880,779,745,813,741,indice
6829,880,781,745,814,741,indice
6906,880,781,745,813,741,indice
6985,880,790,745,814,741,indice
7064,880,809,745,813,741,indice
7142,880,824,745,813,740,indice
7221,880,833,745,813,741,indice
7299,880,841,745,813,741,indice
7377,880,854,745,814,741,indice
7455,880,864,746,813,741,indice
7534,880,872,746,813,741,indice
7612,880,877,746,814,740,indice
7691,880,882,746,813,740,indice
7769,880,886,747,814,740,indice
7847,880,889,747,813,740,indice
7925,880,890,748,813,740,indice
8004,880,891,747,813,740,indice
