timestamp,pulgar,indice,corazon,anular,menique,gesto
18903,880,757,722,801,743,pulgar
18981,880,756,722,800,743,pulgar
19060,880,756,722,801,742,pulgar
3139,569,749,729,805,745,pulgar
3221,384,749,728,804,745,pulgar
3298,274,749,726,803,744,pulgar
3375,216,749,725,803,744,pulgar
3451,186,751,728,805,748,pulgar
3528,169,751,726,803,745,pulgar
3605,156,750,724,802,744,pulgar
3682,147,751,723,801,744,pulgar
3759,142,751,723,801,744,pulgar
3835,137,751,722,801,744,pulgar
3912,133,752,722,801,744,pulgar
3989,133,758,730,806,751,pulgar
4066,145,764,733,808,751,pulgar
4143,148,761,726,805,749,pulgar
4219,131,756,720,800,744,pulgar
4296,123,758,720,800,744,pulgar
4373,118,759,718,799,744,pulgar
4450,116,761,716,799,743,pulgar
4527,114,762,716,799,744,pulgar
4603,112,764,716,799,743,pulgar
4680,111,765,714,799,744,pulgar
4757,111,766,714,799,744,pulgar
4834,111,766,714,798,744,pulgar
4911,112,764,715,799,743,pulgar
4987,117,763,718,799,744,pulgar
5064,124,762,720,800,744,pulgar
5141,145,761,721,800,743,pulgar
5218,186,761,722,800,744,pulgar
5295,387,762,723,801,744,pulgar
5371,633,763,722,802,745,pulgar
5449,756,763,725,802,746,pulgar
5528,818,763,726,802,745,pulgar
5606,849,763,727,802,745,pulgar
5685,864,763,727,801,745,pulgar
5762,872,763,729,802,746,pulgar
5839,876,762,728,802,745,pulgar
5918,878,761,728,802,746,pulgar
5996,786,760,726,800,745,pulgar
6073,744,763,731,807,755,pulgar
6150,657,753,715,800,749,pulgar
6226,603,744,702,794,744,pulgar
6303,583,741,697,792,744,pulgar
6380,568,738,693,791,744,pulgar
6457,559,737,691,790,744,pulgar
6534,557,737,690,791,744,pulgar
6610,573,737,690,790,744,pulgar
6687,594,737,690,790,744,pulgar
6764,634,738,690,790,744,pulgar
6841,730,738,690,790,744,pulgar
6918,805,739,691,791,745,pulgar
6996,842,739,691,791,745,pulgar
7074,861,739,691,790,744,pulgar
7153,870,741,691,790,745,pulgar
7231,875,741,691,791,745,pulgar
7310,751,743,693,791,746,pulgar
7387,619,742,691,790,744,pulgar
7463,493,742,692,790,744,pulgar
7540,412,742,691,789,743,pulgar
7617,344,742,690,788,743,pulgar
7694,286,744,690,789,743,pulgar
7771,241,745,690,788,743,pulgar
7847,212,747,689,789,743,pulgar
7924,191,749,689,788,743,pulgar
8001,174,750,689,788,743,pulgar
8078,164,753,689,788,743,pulgar
8155,158,755,689,788,743,pulgar
8231,155,761,691,790,744,pulgar
8308,150,767,696,793,749,pulgar
8385,136,765,689,788,743,pulgar
8462,127,768,689,788,744,pulgar
8539,120,769,689,788,743,pulgar
8615,116,770,688,788,743,pulgar
8692,112,771,688,788,743,pulgar
8769,111,770,687,788,743,pulgar
8846,114,766,687,788,743,pulgar
8923,124,762,688,788,743,pulgar
8999,140,761,688,788,743,pulgar
9076,181,760,689,789,743,pulgar
9153,338,761,692,790,744,pulgar
9230,609,761,693,791,744,pulgar
9309,744,761,694,790,744,pulgar
9387,812,760,694,791,744,pulgar
9465,846,760,695,791,744,pulgar
9543,863,760,696,791,744,pulgar
9620,807,759,695,790,743,pulgar
9697,843,760,697,791,744,pulgar
9776,861,759,697,791,744,pulgar
9852,870,759,697,791,744,pulgar
9929,734,758,697,790,743,pulgar
10006,647,758,698,790,743,pulgar
10083,596,757,697,790,743,pulgar
10160,567,757,698,790,743,pulgar
10236,560,757,698,790,743,pulgar
10313,567,757,698,789,743,pulgar
10390,596,757,698,790,743,pulgar
10467,738,758,699,791,744,pulgar
10545,809,758,699,791,744,pulgar
10624,844,758,698,791,744,pulgar
10701,862,758,698,791,744,pulgar
10780,871,758,698,791,744,pulgar
10859,875,758,698,791,744,pulgar
10937,877,758,698,791,744,pulgar
11016,878,758,698,791,744,pulgar
11094,879,758,697,790,744,pulgar
11172,765,757,696,790,743,pulgar
11249,571,756,696,789,743,pulgar
11326,465,757,696,789,742,pulgar
11403,395,757,695,789,742,pulgar
11480,304,757,695,788,742,pulgar
11556,246,756,694,788,742,pulgar
11633,210,757,694,788,742,pulgar
11710,185,757,694,788,742,pulgar
11787,172,757,693,788,742,pulgar
11864,160,757,693,788,742,pulgar
11940,147,757,693,788,742,pulgar
12017,136,758,693,788,742,pulgar
12094,129,759,693,788,742,pulgar
12171,125,761,693,788,742,pulgar
12248,121,763,692,788,742,pulgar
12324,116,764,692,787,742,pulgar
