timestamp,pulgar,indice,corazon,anular,menique,gesto
3139,880,735,734,818,745,punio
3223,880,731,734,818,745,punio
3302,880,730,734,818,745,punio
3380,880,759,734,817,745,punio
3459,880,758,734,818,745,punio
3536,880,758,734,817,745,punio
3615,880,756,734,817,745,punio
3693,880,754,734,818,745,punio
3772,880,753,734,817,744,punio
3851,880,753,734,818,745,punio
3929,880,753,734,817,745,punio
4007,880,753,734,817,745,punio
4085,880,751,734,818,745,punio
4164,880,749,734,818,745,punio
4242,880,749,734,817,745,punio
4321,880,748,734,818,745,punio
4399,880,749,734,817,745,punio
4477,880,748,734,817,745,punio
4555,880,745,734,818,744,punio
4634,880,739,734,818,745,punio
4712,880,730,733,817,744,punio
4791,880,735,735,818,745,punio
4869,880,776,754,832,753,punio
4947,880,798,778,827,749,punio
5026,880,820,813,833,749,punio
5104,880,851,823,860,773,punio
5183,880,862,871,870,765,punio
5261,880,857,877,871,758,punio
5340,880,868,890,884,778,punio
5417,880,872,894,886,768,punio
5496,880,880,899,894,778,punio
5574,880,883,903,896,781,punio
5653,880,885,906,898,783,punio
5731,880,889,909,901,790,punio
5810,880,891,911,902,791,punio
5888,880,896,915,908,800,punio
5966,880,906,929,909,803,punio
6044,880,921,936,930,850,punio
6123,847,926,941,935,860,punio
6200,790,899,919,913,818,punio
6277,689,905,924,920,837,punio
6353,501,741,916,912,825,punio
6430,393,891,925,920,849,punio
6507,335,882,928,926,857,punio
6584,266,860,919,918,846,punio
6661,249,864,924,923,859,punio
6737,234,857,920,922,848,punio
6814,215,853,921,917,849,punio
6891,207,871,918,921,901,punio
6968,208,871,915,915,847,punio
7045,221,873,915,916,849,punio
7121,227,869,916,917,850,punio
7198,229,866,914,916,848,punio
7275,230,864,913,915,852,punio
7352,229,867,912,914,845,punio
7429,232,865,912,914,845,punio
7505,249,872,915,918,851,punio
7582,246,867,912,914,847,punio
7659,257,871,914,917,852,punio
7736,244,869,910,913,844,punio
7813,243,869,910,914,844,punio
7889,246,879,912,915,847,punio
7966,237,877,910,913,844,punio
8043,233,879,910,913,845,punio
8120,254,888,915,917,849,punio
8197,246,880,911,914,846,punio
8273,235,877,909,912,842,punio
8350,241,881,912,915,848,punio
8427,233,876,908,911,841,punio
8504,231,876,908,911,842,punio
8581,274,876,906,909,836,punio
8657,398,868,902,905,818,punio
8734,566,856,896,896,799,punio
8811,668,837,883,884,788,punio
8888,774,852,894,898,829,punio
8966,827,849,884,848,827,punio
9044,853,815,856,871,812,punio
9122,866,796,824,859,794,punio
9201,873,801,807,857,802,punio
9279,876,822,769,879,819,punio
9356,878,783,742,849,809,punio
9433,803,789,761,853,820,punio
9509,709,761,729,833,800,punio
9586,679,763,733,835,802,punio
9663,675,741,709,817,783,punio
9740,777,736,705,813,779,punio
9819,828,744,713,819,785,punio
9896,854,741,710,817,782,punio
9975,867,725,689,803,766,punio
10053,873,736,698,809,773,punio
10132,876,749,712,819,783,punio
10211,878,750,708,815,775,punio
10289,879,769,734,829,785,punio
10368,879,766,749,826,773,punio
10445,879,773,778,830,767,punio
10524,879,778,804,834,765,punio
10603,879,793,824,840,764,punio
10681,879,805,842,850,767,punio
10760,879,813,839,858,768,punio
10838,879,819,765,865,767,punio
10916,879,828,775,871,769,punio
10994,879,838,852,879,771,punio
11073,879,851,869,886,774,punio
11152,879,862,876,896,790,punio
11230,879,865,878,895,783,punio
11309,879,872,881,899,789,punio
11386,879,875,893,903,796,punio
11465,879,883,899,908,805,punio
11544,879,880,893,906,803,punio
11622,879,879,893,907,803,punio
11701,879,879,900,908,808,punio
11779,879,858,901,910,810,punio
11857,879,852,905,914,819,punio
11935,879,833,899,912,817,punio
12014,879,835,903,915,825,punio
12093,876,879,898,911,822,punio
12170,815,841,897,912,827,punio
12247,681,859,910,911,828,punio
12323,586,870,909,910,830,punio
12400,553,882,907,911,834,punio
12477,512,889,909,912,837,punio
12554,496,858,914,918,844,punio
12631,465,878,908,912,837,punio
12707,421,861,907,911,836,punio
12784,392,877,906,911,837,punio
12861,380,877,906,911,839,punio
12938,363,858,905,910,839,punio
13015,351,874,904,910,839,punio
13091,352,869,904,910,840,punio
13168,362,880,901,911,839,punio
13245,486,877,873,907,826,punio
13322,612,861,881,897,802,punio
13399,746,828,874,888,789,punio
13477,813,730,872,878,781,punio
13555,846,762,863,871,778,punio
13634,863,789,853,864,777,punio
13712,871,787,847,860,777,punio
13791,875,775,841,856,775,punio
13869,877,744,835,853,775,punio
13947,878,779,830,852,773,punio
14026,879,787,823,847,772,punio
14104,879,785,810,842,770,punio
14183,879,785,802,840,772,punio
14261,879,788,794,842,778,punio
14340,879,782,780,835,771,punio
14418,879,778,766,832,770,punio
14496,879,774,751,828,767,punio
14575,879,772,744,824,767,punio
14653,879,774,747,825,769,punio
14732,879,772,746,822,765,punio
14811,879,772,744,822,765,punio
14888,879,771,738,820,765,punio
14967,879,770,731,818,764,punio
15045,879,766,723,814,763,punio
15124,879,770,728,818,769,punio
15202,879,779,740,827,779,punio
15281,879,788,743,827,779,punio
15360,879,843,812,865,765,punio
15437,879,767,723,820,767,punio
15516,879,778,732,828,786,punio
15594,879,773,724,824,782,punio
15673,879,762,711,814,771,punio
15752,879,762,712,810,763,punio
