timestamp,pulgar,indice,corazon,anular,menique,gesto
52620,880,739,725,799,741,anular
52698,880,741,725,799,741,anular
52776,880,749,725,799,741,anular
52541,880,738,725,799,741,anular
52620,880,739,725,799,741,anular
52698,880,741,725,799,741,anular
52776,880,749,725,799,741,anular
3139,880,750,725,800,741,anular
3223,880,750,725,799,740,anular
3302,880,748,725,799,741,anular
3380,880,751,725,799,741,anular
3459,880,750,725,799,741,anular
3536,880,749,725,799,740,anular
3615,880,747,728,800,740,anular
3693,880,743,730,802,740,anular
3772,880,740,735,814,740,anular
3851,880,737,735,824,740,anular
3929,880,738,732,834,740,anular
4007,880,741,731,852,740,anular
4085,880,743,728,866,739,anular
4164,880,748,726,879,738,anular
4242,880,748,725,887,738,anular
4321,880,748,727,901,739,anular
4399,880,747,734,915,738,anular
4477,880,744,733,919,738,anular
4555,880,747,732,918,738,anular
4634,880,746,733,917,739,anular
4712,880,746,733,917,740,anular
4791,880,747,733,917,739,anular
4869,880,745,732,918,738,anular
4947,880,745,730,920,738,anular
5026,880,744,729,919,737,anular
5104,880,746,728,919,736,anular
5183,880,744,728,918,736,anular
5261,880,745,727,919,736,anular
5340,880,745,726,921,736,anular
5417,880,741,725,920,736,anular
5496,880,741,724,920,735,anular
5574,880,743,723,921,736,anular
5653,880,744,723,920,736,anular
5731,880,744,723,920,736,anular
5810,880,742,723,919,737,anular
5888,880,743,723,921,736,anular
5966,880,744,725,921,739,anular
6045,880,746,724,922,739,anular
6123,880,745,725,922,740,anular
6202,880,743,722,921,737,anular
6280,880,743,720,921,736,anular
6359,880,743,720,920,737,anular
6436,880,743,720,920,736,anular
6515,880,743,720,920,737,anular
6593,880,743,720,920,736,anular
6672,880,743,720,917,736,anular
6750,880,745,726,908,737,anular
6829,880,747,730,898,737,anular
6906,880,751,734,873,740,anular
6985,880,752,736,855,741,anular
7064,880,753,738,848,743,anular
7142,880,753,735,838,742,anular
7221,880,753,734,830,742,anular
7299,880,751,731,819,741,anular
7375,880,747,723,813,740,anular
7452,880,738,714,809,739,anular
7529,729,729,705,805,738,anular
7606,652,726,698,804,736,anular
7683,618,723,696,803,737,anular
7759,600,719,694,802,736,anular
7836,603,721,693,802,736,anular
7913,604,722,691,801,736,anular
7990,624,718,691,801,736,anular
8067,652,719,690,800,735,anular
8143,658,717,691,800,735,anular
8220,654,710,691,800,736,anular
8297,645,713,692,800,737,anular
8374,638,711,694,802,738,anular
8451,630,724,694,802,738,anular
8527,627,748,700,807,742,anular
8604,640,749,695,810,739,anular
8681,701,752,696,816,738,anular
8758,763,755,696,824,738,anular
8835,821,760,702,838,744,anular
8911,850,758,698,851,740,anular
8988,865,769,711,874,752,anular
9065,872,760,699,879,740,anular
9142,876,763,701,890,742,anular
9219,878,774,716,900,754,anular
9297,879,768,706,907,748,anular
9375,879,781,721,918,759,anular
9454,879,764,700,917,743,anular
9532,879,767,704,920,745,anular
9611,879,765,700,922,742,anular
9689,879,765,700,924,742,anular
9767,879,765,700,925,741,anular
9845,879,767,701,926,742,anular
9924,879,762,697,925,738,anular
10002,879,762,697,924,738,anular
10081,879,759,695,924,737,anular
10160,879,755,695,923,736,anular
10237,879,742,694,923,736,anular
10316,879,718,694,922,736,anular
10394,879,720,694,922,736,anular
10473,879,733,694,922,736,anular
10551,879,729,694,921,736,anular
10630,879,735,694,921,736,anular
10708,879,732,694,921,736,anular
10786,879,729,694,921,736,anular
10865,879,730,694,920,736,anular
10943,879,729,694,921,737,anular
11022,879,730,694,920,737,anular
11101,879,729,695,920,736,anular
11179,879,729,695,920,737,anular
11257,879,731,694,919,738,anular
11335,879,737,695,916,738,anular
11414,879,736,696,914,739,anular
11492,879,735,699,907,739,anular
11571,879,733,701,891,740,anular
11650,879,733,703,872,740,anular
11727,879,731,703,856,740,anular
11806,879,732,703,838,740,anular
11884,879,731,703,831,741,anular
11963,879,734,703,827,741,anular
12042,879,733,700,821,740,anular
12120,879,733,697,814,740,anular
12198,879,731,693,810,740,anular
12276,879,732,692,806,739,anular
12355,879,742,690,804,738,anular
12433,879,739,691,802,738,anular
12512,879,729,688,801,737,anular
12591,879,730,685,801,737,anular
12668,879,729,685,800,736,anular
12747,879,725,679,800,736,anular
12825,879,722,677,799,736,anular
12904,879,718,678,798,736,anular
12983,879,723,682,799,736,anular
13061,879,721,683,798,736,anular
13139,879,713,683,798,736,anular
13217,879,709,682,798,736,anular
13296,879,703,681,798,737,anular
13374,879,720,682,799,736,anular
13453,879,722,682,803,737,anular
13532,879,720,682,815,737,anular
13609,879,745,683,825,737,anular
13688,879,744,682,832,737,anular
13766,879,741,683,838,737,anular
13845,879,738,684,845,736,anular
13924,879,749,684,852,737,anular
14002,879,750,685,877,737,anular
14081,879,746,689,893,738,anular
14158,879,752,689,900,738,anular
14237,879,749,682,898,738,anular
14315,879,752,685,897,738,anular
14394,879,750,681,904,738,anular
14473,879,749,686,911,738,anular
14551,879,746,683,916,738,anular
14629,879,732,676,919,738,anular
14707,879,717,680,920,738,anular
14786,879,737,682,921,738,anular
14864,879,731,680,920,737,anular
14943,879,730,682,921,738,anular
15022,879,734,671,922,738,anular
15099,879,744,662,922,737,anular
15178,879,745,635,921,737,anular
15256,879,748,678,920,737,anular
15335,879,743,687,919,737,anular
15413,879,740,678,918,737,anular
15492,879,745,677,917,736,anular
15570,879,741,688,916,736,anular
15648,879,741,672,916,736,anular
15727,879,740,665,916,737,anular
15805,879,739,664,916,737,anular
15884,879,738,666,916,736,anular
15963,879,737,678,915,737,anular
16040,879,735,666,915,737,anular
16119,879,735,665,915,737,anular
16197,879,736,668,914,737,anular
16276,879,739,680,913,737,anular
16354,879,737,681,911,738,anular
16433,879,737,681,910,739,anular
16512,879,738,678,909,739,anular
16589,879,739,672,896,740,anular
16668,879,737,666,877,741,anular
16746,879,732,681,850,741,anular
16825,879,732,682,839,741,anular
16903,879,731,676,836,742,anular
16982,879,734,665,833,742,anular
17060,879,735,676,829,742,anular
17138,879,734,683,821,741,anular
17217,879,735,684,814,740,anular
17295,879,735,683,810,739,anular
17374,879,736,685,808,739,anular
17453,879,735,682,805,738,anular
17530,879,733,685,803,737,anular
17609,879,727,676,802,737,anular
