timestamp,pulgar,indice,corazon,anular,menique,gesto
3139,880,783,728,808,749,corazon
3223,880,783,728,808,749,corazon
3302,880,783,728,808,749,corazon
3380,880,783,728,808,749,corazon
3459,880,784,728,808,749,corazon
3536,880,783,728,808,749,corazon
3615,880,783,728,808,749,corazon
3693,880,783,728,808,749,corazon
3772,880,783,728,808,749,corazon
3851,880,783,728,808,749,corazon
3929,880,783,728,808,749,corazon
4007,880,783,728,808,749,corazon
4085,880,783,728,808,749,corazon
4164,880,783,728,808,748,corazon
4242,880,783,728,808,749,corazon
4321,880,783,728,808,749,corazon
4399,880,783,728,808,749,corazon
4477,880,783,728,807,749,corazon
4555,880,783,728,808,749,corazon
4634,880,782,730,809,749,corazon
4712,880,783,735,812,750,corazon
4791,880,796,756,828,765,corazon
4869,880,795,759,827,770,corazon
4947,880,787,771,826,751,corazon
5026,880,801,800,841,774,corazon
5104,880,798,809,833,763,corazon
5183,880,794,830,835,764,corazon
5261,880,780,838,827,752,corazon
5340,880,777,849,828,750,corazon
5417,880,776,858,828,750,corazon
5496,880,774,868,828,750,corazon
5574,880,772,881,827,749,corazon
5653,880,770,895,826,749,corazon
5731,880,767,910,825,748,corazon
5810,880,765,917,824,748,corazon
5888,880,763,918,823,748,corazon
5966,880,763,916,822,747,corazon
6045,880,763,914,823,747,corazon
6123,880,764,915,822,748,corazon
6202,880,766,918,824,749,corazon
6280,880,766,919,825,751,corazon
6359,880,763,920,822,747,corazon
6436,880,762,922,821,747,corazon
6515,880,761,923,821,747,corazon
6593,880,760,925,820,746,corazon
6672,880,759,925,820,746,corazon
6750,880,759,926,819,745,corazon
6829,880,759,926,819,746,corazon
6906,880,758,925,819,745,corazon
6985,880,759,925,819,745,corazon
7063,880,759,924,819,745,corazon
7142,880,759,921,818,745,corazon
7220,880,762,914,820,747,corazon
7299,880,767,882,823,746,corazon
7376,880,772,833,826,747,corazon
7455,880,776,817,827,748,corazon
7533,880,777,807,827,747,corazon
7612,880,779,797,829,750,corazon
7691,880,780,786,828,749,corazon
7769,880,783,783,826,750,corazon
7847,880,785,782,824,751,corazon
7925,880,786,778,822,750,corazon
8004,880,790,768,824,752,corazon
8082,880,788,756,822,750,corazon
8161,880,802,754,826,756,corazon
8239,880,793,741,824,768,corazon
8317,880,790,741,826,762,corazon
8395,880,786,729,818,754,corazon
8472,880,802,745,833,776,corazon
8549,880,782,715,813,756,corazon
8626,880,779,710,810,755,corazon
8702,880,777,706,807,752,corazon
8779,880,776,705,807,753,corazon
8856,880,775,705,806,753,corazon
8933,880,776,704,805,753,corazon
9010,880,783,713,810,757,corazon
9086,880,776,705,806,754,corazon
9163,880,776,705,806,754,corazon
9240,880,777,705,806,754,corazon
9317,880,777,705,805,753,corazon
9394,880,776,706,805,753,corazon
9470,880,780,714,806,755,corazon
9547,880,777,721,805,751,corazon
9624,880,797,760,824,770,corazon
9701,880,779,748,810,752,corazon
9780,880,782,757,814,754,corazon
9858,880,782,766,817,754,corazon
9936,880,780,775,817,753,corazon
10015,880,783,786,820,756,corazon
10093,880,782,795,820,753,corazon
10172,880,783,810,824,760,corazon
10250,880,782,822,824,757,corazon
10329,880,780,833,822,753,corazon
10406,880,782,854,826,757,corazon
10485,880,777,869,823,754,corazon
10564,880,774,888,820,751,corazon
10642,880,777,903,824,755,corazon
10721,880,770,909,820,750,corazon
10799,880,773,917,824,754,corazon
10877,880,772,920,823,752,corazon
10955,880,775,925,827,761,corazon
11034,880,762,923,819,748,corazon
11111,880,760,925,818,747,corazon
11188,880,757,926,818,746,corazon
11265,880,755,926,817,746,corazon
11341,880,754,926,816,746,corazon
11418,880,752,925,815,745,corazon
11495,880,752,925,814,744,corazon
11572,880,752,924,813,745,corazon
11649,880,751,924,813,745,corazon
11725,880,751,925,813,744,corazon
11802,880,751,925,813,744,corazon
11879,880,751,924,813,744,corazon
11956,880,750,916,812,744,corazon
12033,880,750,921,813,744,corazon
12110,880,750,921,812,744,corazon
12187,880,750,923,813,744,corazon
12264,880,750,923,813,744,corazon
12341,880,750,923,813,744,corazon
12418,880,750,922,813,744,corazon
12494,880,750,923,813,744,corazon
12571,880,750,922,813,744,corazon
12648,880,750,921,813,744,corazon
12725,880,753,915,817,744,corazon
12803,880,762,893,822,745,corazon
12881,880,772,830,826,748,corazon
12959,880,776,811,826,749,corazon
13036,880,780,804,827,750,corazon
13114,880,783,797,827,751,corazon
13191,880,785,787,826,752,corazon
13267,880,787,774,823,752,corazon
13344,880,785,754,819,752,corazon
13421,880,779,733,815,752,corazon
13498,880,776,718,812,751,corazon
13575,880,774,711,810,751,corazon
13651,880,771,703,807,751,corazon
13728,880,767,698,804,751,corazon
13805,880,764,695,801,750,corazon
13882,880,761,692,799,750,corazon
13960,880,759,690,797,750,corazon
14039,880,720,690,797,749,corazon
14116,880,735,689,796,749,corazon
14195,880,748,674,796,749,corazon
14274,880,755,657,796,749,corazon
14352,880,699,653,796,749,corazon
14429,880,713,684,796,749,corazon
14505,880,750,691,798,749,corazon
14582,880,762,713,800,749,corazon
14659,880,767,742,804,750,corazon
14736,880,770,776,810,750,corazon
14813,880,772,800,814,750,corazon
14891,880,774,819,816,750,corazon
14967,880,773,832,817,751,corazon
15045,880,772,846,818,750,corazon
15124,880,771,857,819,750,corazon
15202,880,769,869,819,750,corazon
15281,880,763,888,820,750,corazon
15358,880,726,904,820,750,corazon
15437,880,704,910,820,749,corazon
15516,880,730,918,819,749,corazon
15594,880,742,921,819,748,corazon
15673,880,758,923,818,747,corazon
15751,880,758,924,818,747,corazon
15830,880,756,925,816,746,corazon
15908,880,755,926,816,746,corazon
15986,880,753,926,816,746,corazon
16065,880,752,926,816,746,corazon
16143,880,751,925,815,746,corazon
16222,880,749,923,816,745,corazon
16300,880,749,926,815,745,corazon
16378,880,748,925,815,744,corazon
16455,880,741,925,814,745,corazon
16532,880,715,925,815,744,corazon
16611,880,741,925,815,745,corazon
16689,880,744,924,814,745,corazon
16768,880,742,924,815,745,corazon
16845,880,744,924,815,745,corazon
16924,880,744,923,815,745,corazon
17003,880,744,923,814,745,corazon
17081,880,743,922,814,745,corazon
17160,880,738,919,815,744,corazon
17238,880,738,913,819,745,corazon
17316,880,744,901,823,746,corazon
17394,880,753,860,828,748,corazon
17473,880,759,818,829,750,corazon
