timestamp,pulgar,indice,corazon,anular,menique,gesto
3139,880,744,723,805,752,mano_abierta
3223,880,740,723,805,752,mano_abierta
3302,880,738,724,805,752,mano_abierta
3380,880,734,723,805,752,mano_abierta
3459,880,736,723,805,752,mano_abierta
3536,880,739,723,805,752,mano_abierta
3615,880,742,723,805,752,mano_abierta
3693,880,739,723,805,752,mano_abierta
3772,880,736,723,805,752,mano_abierta
3850,880,734,723,805,752,mano_abierta
3929,880,734,723,805,752,mano_abierta
4007,880,733,724,805,752,mano_abierta
4085,880,734,723,805,752,mano_abierta
4164,880,737,724,805,752,mano_abierta
4242,880,742,724,805,752,mano_abierta
4321,880,740,723,806,753,mano_abierta
4399,880,740,723,805,753,mano_abierta
4477,880,740,723,805,752,mano_abierta
4555,880,739,723,805,752,mano_abierta
4634,880,739,723,806,753,mano_abierta
4712,880,742,723,805,752,mano_abierta
4791,880,741,724,805,752,mano_abierta
4869,880,741,723,805,752,mano_abierta
4947,880,745,723,805,752,mano_abierta
5026,880,745,723,805,752,mano_abierta
5104,880,745,723,805,752,mano_abierta
5183,880,745,724,805,752,mano_abierta
5261,880,745,723,805,752,mano_abierta
5340,880,743,724,805,752,mano_abierta
5417,880,742,713,805,751,mano_abierta
5496,880,742,712,805,714,mano_abierta
5574,880,745,725,808,726,mano_abierta
5651,880,744,724,810,730,mano_abierta
5730,880,737,710,808,757,mano_abierta
5808,701,727,703,803,741,mano_abierta
5884,631,724,700,801,759,mano_abierta
5961,629,719,693,799,757,mano_abierta
6038,614,723,684,798,757,mano_abierta
6115,603,716,694,797,758,mano_abierta
6192,591,700,676,796,758,mano_abierta
6268,589,696,658,795,758,mano_abierta
6345,602,700,646,796,758,mano_abierta
6422,602,703,692,796,759,mano_abierta
6499,622,708,699,801,766,mano_abierta
6576,619,739,693,796,759,mano_abierta
6652,643,760,702,803,767,mano_abierta
6729,661,733,698,800,764,mano_abierta
6806,722,701,738,827,794,mano_abierta
6883,801,667,708,808,775,mano_abierta
6962,840,657,729,825,790,mano_abierta
7040,860,715,701,802,766,mano_abierta
7118,870,714,691,796,759,mano_abierta
7196,875,712,694,798,762,mano_abierta
7275,877,713,693,796,760,mano_abierta
7354,878,732,713,809,773,mano_abierta
7432,879,712,694,797,760,mano_abierta
7511,879,731,717,818,783,mano_abierta
7588,879,718,701,801,764,mano_abierta
7667,879,725,704,804,764,mano_abierta
7745,879,719,695,797,747,mano_abierta
7824,879,719,698,799,747,mano_abierta
7902,879,718,697,799,741,mano_abierta
7981,879,720,698,800,742,mano_abierta
8058,879,734,712,815,777,mano_abierta
8137,879,739,734,813,762,mano_abierta
8215,879,740,773,822,766,mano_abierta
8294,879,699,760,814,756,mano_abierta
8372,879,679,731,814,757,mano_abierta
8451,879,680,756,813,756,mano_abierta
8528,879,679,755,813,755,mano_abierta
8607,879,680,754,813,753,mano_abierta
8686,879,679,749,813,750,mano_abierta
8764,879,679,748,813,754,mano_abierta
8843,879,679,751,813,753,mano_abierta
8921,879,680,751,812,753,mano_abierta
8999,879,680,728,813,751,mano_abierta
9077,879,681,749,812,747,mano_abierta
9156,879,680,749,812,746,mano_abierta
9234,879,681,749,812,748,mano_abierta
9313,879,680,746,812,753,mano_abierta
9391,879,679,749,812,754,mano_abierta
9469,879,679,748,812,754,mano_abierta
9548,879,680,749,812,754,mano_abierta
9626,879,680,748,811,755,mano_abierta
9705,879,680,748,811,754,mano_abierta
9783,879,679,748,812,754,mano_abierta
9862,879,681,749,812,754,mano_abierta
9939,879,681,749,812,757,mano_abierta
10018,879,679,751,813,755,mano_abierta
10096,879,678,749,812,756,mano_abierta
10175,879,672,739,812,758,mano_abierta
10252,803,712,715,803,759,mano_abierta
10329,736,693,698,798,758,mano_abierta
10405,671,680,697,798,717,mano_abierta
10482,642,680,693,797,758,mano_abierta
10559,650,696,689,805,767,mano_abierta
10636,680,664,692,795,757,mano_abierta
10713,749,654,690,794,756,mano_abierta
10789,814,705,690,794,756,mano_abierta
10868,847,705,689,794,756,mano_abierta
10946,863,705,688,794,756,mano_abierta
11025,871,707,689,793,756,mano_abierta
11103,875,708,689,793,756,mano_abierta
11182,877,708,688,793,755,mano_abierta
11260,878,710,689,792,755,mano_abierta
11338,879,710,689,792,755,mano_abierta
11417,879,710,689,792,755,mano_abierta
11495,879,711,689,793,755,mano_abierta
11574,879,712,689,793,755,mano_abierta
11652,879,714,691,793,756,mano_abierta
11730,879,721,693,797,756,mano_abierta
11809,879,734,707,806,757,mano_abierta
11887,879,744,736,812,757,mano_abierta
11966,879,753,765,820,759,mano_abierta
12044,879,760,776,826,761,mano_abierta
12123,879,745,771,822,756,mano_abierta
12200,879,776,762,817,756,mano_abierta
12279,879,739,761,817,756,mano_abierta
12358,879,746,759,818,755,mano_abierta
12436,879,754,759,818,756,mano_abierta
12515,879,744,758,817,756,mano_abierta
12593,879,747,757,817,756,mano_abierta
12672,879,747,756,817,755,mano_abierta
12750,879,746,755,817,755,mano_abierta
12828,879,745,755,817,755,mano_abierta
12907,879,744,755,817,756,mano_abierta
12985,879,735,755,817,756,mano_abierta
13064,879,744,754,816,755,mano_abierta
13142,879,746,754,816,756,mano_abierta
13220,879,746,754,816,755,mano_abierta
13299,879,739,754,816,756,mano_abierta
13377,879,747,754,816,756,mano_abierta
13456,879,747,754,816,756,mano_abierta
13534,879,748,754,816,756,mano_abierta
13613,879,745,757,816,757,mano_abierta
13691,879,748,757,816,755,mano_abierta
13769,879,765,775,829,757,mano_abierta
13848,879,762,761,822,758,mano_abierta
13926,879,753,737,811,754,mano_abierta
14005,879,736,713,801,751,mano_abierta
14082,751,738,699,796,753,mano_abierta
14158,667,748,696,794,751,mano_abierta
14235,639,751,711,806,765,mano_abierta
14312,609,738,690,794,754,mano_abierta
14389,607,731,688,792,754,mano_abierta
14466,608,730,688,793,755,mano_abierta
14542,627,728,697,796,761,mano_abierta
14619,753,746,689,792,755,mano_abierta
14698,816,747,689,791,756,mano_abierta
14776,848,757,708,802,768,mano_abierta
14855,864,754,696,796,761,mano_abierta
14932,872,765,712,804,760,mano_abierta
15011,876,754,696,796,761,mano_abierta
15090,878,752,694,795,761,mano_abierta
15168,879,769,715,811,779,mano_abierta
15247,879,758,701,798,765,mano_abierta
15325,879,755,685,789,753,mano_abierta
15404,879,749,689,792,757,mano_abierta
15481,879,756,697,797,762,mano_abierta
15560,879,759,697,798,763,mano_abierta
15639,879,765,701,803,763,mano_abierta
15717,879,779,737,815,765,mano_abierta
