timestamp,pulgar,indice,corazon,anular,menique,gesto
55244,880,770,724,804,747,reposo
55322,880,768,724,804,748,reposo
3139,880,763,724,804,748,reposo
3223,880,763,724,803,748,reposo
3302,880,763,724,804,748,reposo
3380,880,763,723,803,748,reposo
3459,880,763,724,804,748,reposo
3536,880,763,724,804,748,reposo
3615,880,763,724,804,748,reposo
3693,880,763,723,803,748,reposo
3772,880,763,723,803,748,reposo
3850,880,763,724,804,748,reposo
3929,880,763,723,804,748,reposo
4006,880,763,724,804,748,reposo
4085,880,763,724,804,748,reposo
4164,880,763,724,804,748,reposo
4242,880,763,724,804,748,reposo
4321,880,763,724,804,748,reposo
4399,880,763,724,803,748,reposo
4477,880,762,724,804,747,reposo
4555,880,763,724,804,748,reposo
4634,880,763,724,804,748,reposo
4712,880,763,724,804,747,reposo
4791,880,763,724,803,748,reposo
4869,880,763,724,804,748,reposo
4947,880,763,723,804,748,reposo
5025,880,763,724,804,748,reposo
5104,880,763,724,803,748,reposo
5183,880,763,724,804,748,reposo
5261,880,763,724,804,748,reposo
5340,880,763,723,804,747,reposo
5417,880,763,724,804,748,reposo
5496,880,763,724,804,748,reposo
5574,880,763,724,804,748,reposo
5653,880,763,724,804,748,reposo
5731,880,762,723,804,748,reposo
5810,880,763,724,804,748,reposo
5888,880,763,723,804,748,reposo
5966,880,763,724,804,748,reposo
6044,880,763,724,804,748,reposo
6123,880,763,724,803,747,reposo
6201,880,763,724,804,748,reposo
6280,880,763,724,804,747,reposo
6359,880,763,724,804,748,reposo
6436,880,763,724,803,748,reposo
6515,880,763,724,804,748,reposo
6593,880,763,724,804,748,reposo
6672,880,763,723,804,747,reposo
6750,880,763,723,804,748,reposo
6829,880,763,724,804,748,reposo
6906,880,763,723,804,748,reposo
6985,880,764,724,804,747,reposo
7063,880,763,723,804,748,reposo
7142,880,763,724,803,748,reposo
7220,880,763,723,804,748,reposo
7299,880,763,724,804,748,reposo
7376,880,763,723,804,748,reposo
7455,880,763,723,804,748,reposo
7533,880,763,723,804,748,reposo
7612,880,763,724,804,748,reposo
7691,880,763,723,804,747,reposo
7769,880,763,724,804,748,reposo
7847,880,763,724,803,748,reposo
7925,880,764,723,804,748,reposo
8004,880,763,724,804,748,reposo
8082,880,763,724,803,748,reposo
8161,880,763,724,804,747,reposo
8239,880,763,723,804,748,reposo
8317,880,764,724,804,748,reposo
8395,880,763,723,804,748,reposo
